 -8.1233897e+000 -6.2650098e-001 -3.3372672e-001 -1.0231047e-002  2.0564157e-001  1.8478854e-001  3.1521070e-001  2.9511344e-001  2.8633416e-001  3.0418481e-001  2.0354219e-001  2.6113115e-001  1.1241409e-001  2.2280797e-001  1.3091023e-001
 -8.1243694e+000 -6.2847955e-001 -3.3513114e-001 -1.0469057e-002  2.0633794e-001  1.8613595e-001  3.1712749e-001  2.9678134e-001  2.8708211e-001  3.0461413e-001  2.0343038e-001  2.6055234e-001  1.1182403e-001  2.2208987e-001  1.3030606e-001
 -8.1225502e+000 -6.2448851e-001 -3.3218867e-001 -9.4810429e-003  2.0563767e-001  1.8396440e-001  3.1327336e-001  2.9311427e-001  2.8514055e-001  3.0342023e-001  2.0338519e-001  2.6155457e-001  1.1303991e-001  2.2356492e-001  1.3145889e-001
 -8.1241716e+000 -6.2779060e-001 -3.3453056e-001 -9.9231185e-003  2.0669106e-001  1.8619240e-001  3.1661650e-001  2.9600435e-001  2.8641075e-001  3.0412990e-001  2.0319495e-001  2.6055951e-001  1.1199954e-001  2.2231661e-001  1.3041762e-001
 -8.1235820e+000 -6.2682132e-001 -3.3393639e-001 -1.0111528e-002  2.0597175e-001  1.8525920e-001  3.1569499e-001  2.9536376e-001  2.8627127e-001  3.0408062e-001  2.0337500e-001  2.6091031e-001  1.1226682e-001  2.2265204e-001  1.3074509e-001
 -8.1249496e+000 -6.2933052e-001 -3.3559789e-001 -1.0026231e-002  2.0731602e-001  1.8738133e-001  3.1828059e-001  2.9735178e-001  2.8690812e-001  3.0435969e-001  2.0299688e-001  2.5999764e-001  1.1146707e-001  2.2169554e-001  1.2988832e-001
 -8.1242401e+000 -6.2771637e-001 -3.3439853e-001 -9.5406999e-003  2.0718034e-001  1.8656586e-001  3.1661291e-001  2.9575155e-001  2.8606022e-001  3.0385244e-001  2.0296833e-001  2.6041460e-001  1.1200219e-001  2.2234166e-001  1.3037602e-001
 -8.1238528e+000 -6.2750888e-001 -3.3448001e-001 -1.0488640e-002  2.0580339e-001  1.8534869e-001  3.1622100e-001  2.9605147e-001  2.8680220e-001  3.0447017e-001  2.0356321e-001  2.6089575e-001  1.1212092e-001  2.2243774e-001  1.3061293e-001
 -8.1244601e+000 -6.2849689e-001 -3.3507244e-001 -1.0164532e-002  2.0673519e-001  1.8653410e-001  3.1733820e-001  2.9671498e-001  2.8680694e-001  3.0436620e-001  2.0320278e-001  2.6036181e-001  1.1175119e-001  2.2203025e-001  1.3020705e-001
 -8.1243545e+000 -6.2831100e-001 -3.3495900e-001 -1.0245250e-002  2.0653295e-001  1.8623875e-001  3.1701579e-001  2.9654329e-001  2.8683995e-001  3.0444139e-001  2.0333997e-001  2.6054007e-001  1.1187582e-001  2.2214747e-001  1.3031813e-001
